name,experince,team_name,birth_day,player_id,2024-25,2025-26
Jevon Carter,7 years,Chicago Bulls,1995-09-14,carteje01,,"$6,809,524"
Zach Collins,7 years,Chicago Bulls,1997-11-19,colliza01,,"$18,080,496"
Torrey Craig,8 years,,1990-12-19,craigto01,,
Ayo Dosunmu,4 years,Chicago Bulls,2000-01-17,dosunay01,,"$7,518,518"
Chris Duarte,4 years,,1997-06-13,duartch01,,
Josh Giddey,4 years,,2002-10-10,giddejo01,,
Talen Horton-Tucker,6 years,,2000-11-25,hortota01,,
Kevin Huerter,7 years,Chicago Bulls,1998-08-27,huertke01,,"$17,991,071"
Tre Jones,5 years,Chicago Bulls,2000-01-08,jonestr01,,
Zach LaVine,11 years,Sacramento Kings,1995-03-10,lavinza01,,"$47,499,660"
E.J. Liddell,2 years,,2000-12-18,liddeej01,,"$706,898"
Emanuel Miller,1 year,Chicago Bulls,2000-06-19,milleem01,,
Julian Phillips,2 years,Chicago Bulls,2003-11-05,phillju01,,"$2,221,677"
Adama Sanogo,2 years,,2002-02-12,sanogad01,,
Jalen Smith,5 years,Chicago Bulls,2000-03-16,smithja04,,"$9,000,000"
Dalen Terry,3 years,Chicago Bulls,2002-07-12,terryda01,,"$5,399,118"
Nikola Vučević,14 years,Chicago Bulls,1990-10-24,vucevni01,,"$21,481,481"
Coby White,6 years,Chicago Bulls,2000-02-16,whiteco01,,"$12,888,889"
Patrick Williams,5 years,Chicago Bulls,2001-08-26,willipa01,,"$18,000,000"
Jahmir Young,1 year,,2000-10-07,youngja05,,
Jarrett Allen,8 years,Cleveland Cavaliers,1998-04-21,allenja01,,"$20,000,000"
Emoni Bates,2 years,,2004-01-28,batesem01,,
Darius Garland,6 years,Cleveland Cavaliers,2000-01-26,garlada01,,"$39,446,090"
Javonte Green,6 years,,1993-07-23,greenja02,,
De'Andre Hunter,6 years,Cleveland Cavaliers,1997-12-02,huntede01,,"$23,303,571"
Ty Jerome,6 years,Memphis Grizzlies,1997-07-08,jeromty01,,
Caris LeVert,9 years,Detroit Pistons,1994-08-25,leverca01,,
Sam Merrill,5 years,Cleveland Cavaliers,1996-05-15,merrisa01,,
Donovan Mitchell,8 years,Cleveland Cavaliers,1996-09-07,mitchdo01,,"$46,394,100"
Evan Mobley,4 years,Cleveland Cavaliers,2001-06-18,mobleev01,,"$46,394,100"
Georges Niang,9 years,Boston Celtics,1993-06-17,niangge01,,"$8,200,000"
Chuma Okeke,5 years,Cleveland Cavaliers,1998-08-18,okekech01,,"$2,546,675"
Isaac Okoro,5 years,Chicago Bulls,2001-01-26,okorois01,,"$11,000,000"
Craig Porter Jr.,2 years,Cleveland Cavaliers,2000-02-26,portecr01,,"$2,221,677"
Max Strus,6 years,Cleveland Cavaliers,1996-03-28,strusma01,,"$15,936,452"
Tristan Thompson,14 years,,1991-03-13,thomptr01,,
JT Thor,4 years,,2002-08-26,thorjt01,,
Nae'Qwan Tomlin,1 year,Cleveland Cavaliers,2000-12-10,tomlina01,,
Luke Travers,1 year,Cleveland Cavaliers,2001-09-03,travelu01,,
Jaylon Tyson,1 year,Cleveland Cavaliers,2002-12-02,tysonja01,,"$3,492,480"
Dean Wade,6 years,Cleveland Cavaliers,1996-11-20,wadede01,,"$6,623,456"
Malik Beasley,9 years,,1996-11-26,beaslma01,,
Cade Cunningham,4 years,Detroit Pistons,2001-09-25,cunnica01,,"$38,661,750"
Jalen Duren,3 years,Detroit Pistons,2003-11-18,durenja01,,"$6,483,144"
Simone Fontecchio,3 years,Miami Heat,1995-12-09,fontesi01,,"$8,307,692"
Tim Hardaway Jr.,12 years,Denver Nuggets,1992-03-16,hardati02,,
Ron Harper Jr.,3 years,,2000-04-12,harpero02,,
Tobias Harris,14 years,Detroit Pistons,1992-07-15,harrito02,,"$26,634,146"
Ron Holland,1 year,Detroit Pistons,2005-07-07,hollaro01,,"$8,657,280"
Jaden Ivey,3 years,Detroit Pistons,2002-02-13,iveyja01,,"$10,107,163"
Daniss Jenkins,1 year,,2001-08-17,jenkida01,,
Bobi Klintman,1 year,Detroit Pistons,2003-03-06,klintbo01,,"$1,955,377"
Wendell Moore Jr.,3 years,,2001-09-18,moorewe01,,
Paul Reed,5 years,Detroit Pistons,1999-06-14,reedpa01,,
Marcus Sasser,2 years,Detroit Pistons,2000-09-21,sassema01,,"$2,886,720"
Dennis Schröder,12 years,Sacramento Kings,1993-09-15,schrode01,,
Tolu Smith,1 year,Detroit Pistons,2000-07-26,smithto05,,
Isaiah Stewart,5 years,Detroit Pistons,2001-05-22,stewais01,,"$15,000,000"
Cole Swider,3 years,,1999-05-08,swideco01,,
Ausar Thompson,2 years,Detroit Pistons,2003-01-30,thompau01,,"$8,775,000"
Lindy Waters III,4 years,San Antonio Spurs,1997-07-28,waterli01,,
Alondes Williams,3 years,,1999-06-19,willial06,,
Tony Bradley,7 years,Indiana Pacers,1998-01-08,bradlto01,,"$2,940,876"
Moses Brown,6 years,,1999-10-13,brownmo01,,
Thomas Bryant,8 years,,1997-07-31,bryanth01,,
RayJ Dennis,1 year,Indiana Pacers,2001-03-30,dennira01,,
Enrique Freeman,1 year,Minnesota Timberwolves,2000-07-29,freemen01,,
Johnny Furphy,1 year,Indiana Pacers,2004-12-08,furphjo01,,"$1,955,377"
Tyrese Haliburton,5 years,Indiana Pacers,2000-02-29,halibty01,,"$45,550,512"
Isaiah Jackson,4 years,Indiana Pacers,2002-01-10,jacksis01,,
Quenton Jackson,3 years,Indiana Pacers,1998-09-15,jacksqu01,,
James Johnson,16 years,,1987-02-20,johnsja01,,
Bennedict Mathurin,3 years,Indiana Pacers,2002-06-19,mathube01,,"$9,187,573"
T.J. McConnell,10 years,Indiana Pacers,1992-03-25,mccontj01,,"$10,200,000"
Andrew Nembhard,3 years,Indiana Pacers,2000-01-16,nembhan01,,"$18,102,000"
Aaron Nesmith,5 years,Indiana Pacers,1999-10-16,nesmiaa01,,"$11,000,000"
Tristen Newton,1 year,,2001-04-26,newtotr01,,
Jahlil Okafor,7 years,,1995-12-15,okafoja01,,
Ben Sheppard,2 years,Indiana Pacers,2001-07-16,sheppbe01,,"$2,790,720"
Pascal Siakam,9 years,Indiana Pacers,1994-04-02,siakapa01,,"$45,550,512"
Obi Toppin,5 years,Indiana Pacers,1998-03-04,toppiob01,,"$14,000,000"
Myles Turner,10 years,Milwaukee Bucks,1996-03-24,turnemy01,,
Jarace Walker,2 years,Indiana Pacers,2003-09-04,walkeja02,,"$6,665,520"
James Wiseman,4 years,Indiana Pacers,2001-03-31,wisemja01,,"$2,667,947"
Giannis Antetokounmpo,12 years,Milwaukee Bucks,1994-12-06,antetgi01,,"$54,126,450"
MarJon Beauchamp,3 years,,2000-10-12,beaucma01,,
Jamaree Bouyea,3 years,Milwaukee Bucks,1999-06-27,bouyeja01,,
Pat Connaughton,10 years,Charlotte Hornets,1993-01-06,connapa01,,"$9,423,869"
A.J. Green,3 years,Milwaukee Bucks,1999-09-27,greenaj01,,"$2,301,587"
Andre Jackson Jr.,2 years,Milwaukee Bucks,2001-11-13,jacksan01,,"$2,221,677"
AJ Johnson,1 year,Washington Wizards,2004-12-01,johnsaj01,,"$3,090,480"
Kyle Kuzma,8 years,Milwaukee Bucks,1995-07-24,kuzmaky01,,"$22,410,605"
Damian Lillard,13 years,Portland Trail Blazers,1990-07-15,lillada01,,"$54,126,450"
Chris Livingston,2 years,Milwaukee Bucks,2003-10-15,livinch01,,
Brook Lopez,17 years,Los Angeles Clippers,1988-04-01,lopezbr01,,
Khris Middleton,13 years,Washington Wizards,1991-08-12,middlkh01,,"$33,296,296"
Pete Nance,2 years,Milwaukee Bucks,2000-02-19,nancepe01,,
Kevin Porter Jr.,5 years,Milwaukee Bucks,2000-05-04,porteke02,,
Bobby Portis,10 years,Milwaukee Bucks,1995-02-10,portibo01,,
Taurean Prince,9 years,Milwaukee Bucks,1994-03-22,princta02,,
Liam Robbins,1 year,,1999-07-12,robbili01,,
Ryan Rollins,3 years,Milwaukee Bucks,2002-07-03,rolliry01,,
Jericho Sims,4 years,Milwaukee Bucks,1998-10-20,simsje01,,
Tyler Smith,1 year,Milwaukee Bucks,2004-11-02,smithty02,,"$1,955,377"
Gary Trent Jr.,7 years,Milwaukee Bucks,1999-01-18,trentga02,,
Stanley Umude,3 years,,1999-04-12,umudest01,,
Delon Wright,10 years,,1992-04-26,wrighde01,,
Marvin Bagley III,7 years,Washington Wizards,1999-03-14,baglema01,,
Patrick Baldwin Jr.,3 years,,2002-11-18,baldwpa01,,
Malcolm Brogdon,9 years,,1992-12-11,brogdma01,,
Jared Butler,4 years,Phoenix Suns,2000-08-25,butleja02,,
Bub Carrington,1 year,Washington Wizards,2005-07-21,carrica01,,"$4,677,600"
Justin Champagnie,4 years,Washington Wizards,2001-06-29,champju01,,"$2,349,578"
Bilal Coulibaly,2 years,Washington Wizards,2004-07-26,coulibi01,,"$7,275,600"
Johnny Davis,3 years,,2002-02-27,davisjo06,,
Kyshawn George,1 year,Washington Wizards,2003-12-12,georgky01,,"$2,966,760"
Anthony Gill,5 years,,1992-10-17,gillan01,,
Richaun Holmes,10 years,,1993-10-15,holmeri01,,
AJ Johnson,1 year,Washington Wizards,2004-12-01,johnsaj01,,"$3,090,480"
Colby Jones,2 years,Detroit Pistons,2002-05-28,jonesco02,,
Corey Kispert,4 years,Washington Wizards,1999-03-03,kispeco01,,"$13,975,000"
Kyle Kuzma,8 years,Milwaukee Bucks,1995-07-24,kuzmaky01,,"$22,410,605"
Jaylen Martin,1 year,Washington Wizards,2004-01-28,martija02,,
Jalen McDaniels,6 years,,1998-01-31,mcdanja01,,
Khris Middleton,13 years,Washington Wizards,1991-08-12,middlkh01,,"$33,296,296"
Jordan Poole,6 years,New Orleans Pelicans,1999-06-19,poolejo01,,"$31,848,215"
Alex Sarr,1 year,Washington Wizards,2005-04-26,sarral01,,"$11,808,240"
Marcus Smart,11 years,Los Angeles Lakers,1994-03-06,smartma01,,"$21,586,855"
JT Thor,4 years,,2002-08-26,thorjt01,,
Jonas Valančiūnas,13 years,Denver Nuggets,1992-05-06,valanjo01,,"$10,395,000"
Tristan Vukcevic,2 years,Washington Wizards,2003-03-11,vukcetr01,,
Dominick Barlow,3 years,Philadelphia 76ers,2003-05-26,barlodo01,,
