name,experince,team_name,birth_day,player_id,season,team_name,lg_id,salary
Luke Kornet,8 years,Boston Celtics,1995-07-15,kornelu01,2021-22,Boston Celtics,NBA,"$606,702"
Luke Kornet,8 years,Cleveland Cavaliers,1995-07-15,kornelu01,2021-22,Cleveland Cavaliers,NBA,"$102,831"
Luke Kornet,8 years,Milwaukee Bucks,1995-07-15,kornelu01,2021-22,Milwaukee Bucks,NBA,"$102,831"
Luke Kornet,8 years,Boston Celtics,1995-07-15,kornelu01,2022-23,Boston Celtics,NBA,"$2,133,278"
Luke Kornet,8 years,Boston Celtics,1995-07-15,kornelu01,2023-24,Boston Celtics,NBA,"$2,413,304"
Luke Kornet,8 years,Boston Celtics,1995-07-15,kornelu01,2024-25,Boston Celtics,NBA,"$2,087,519"
Luke Kornet,8 years,(may be incomplete),1995-07-15,kornelu01,Career,(may be incomplete),,"$13,565,725"
Miles Norris,1 year,Atlanta Hawks,2000-04-15,norrimi01,2023-24,Atlanta Hawks,NBA,(TW)
Miles Norris,1 year,Boston Celtics,2000-04-15,norrimi01,2024-25,Boston Celtics,NBA,(TW)
Miles Norris,1 year,(may be incomplete),2000-04-15,norrimi01,Career,(may be incomplete),,
Drew Peterson,2 years,Boston Celtics,1999-11-09,peterdr01,2023-24,Boston Celtics,NBA,(TW)
Drew Peterson,2 years,Boston Celtics,1999-11-09,peterdr01,2024-25,Boston Celtics,NBA,(TW)
Drew Peterson,2 years,(may be incomplete),1999-11-09,peterdr01,Career,(may be incomplete),,
Kristaps Porziņģis,9 years,New York Knicks,1995-08-02,porzikr01,2015-16,New York Knicks,NBA,"$4,131,720"
Kristaps Porziņģis,9 years,New York Knicks,1995-08-02,porzikr01,2016-17,New York Knicks,NBA,"$4,317,720"
Kristaps Porziņģis,9 years,New York Knicks,1995-08-02,porzikr01,2017-18,New York Knicks,NBA,"$4,503,600"
Kristaps Porziņģis,9 years,Dallas Mavericks,1995-08-02,porzikr01,2018-19,Dallas Mavericks,NBA,"$5,697,054"
